business_id,date,description,score,postal_code
164,2015-11-06,Unapproved or unmaintained equipment or utensils,96,94104
178,2014-07-30,Inadequate and inaccessible handwashing facilities,90,94104
179,2014-05-22,Unapproved or unmaintained equipment or utensils,94,94122
179,2014-05-22,Moderate risk food holding temperature,94,94122
180,2016-01-06,Inadequate and inaccessible handwashing facilities,88,94110
180,2016-01-06,Moderate risk food holding temperature,88,94110
187,2016-05-11,Moderate risk food holding temperature,89,94132
190,2015-03-27,Moderate risk food holding temperature,92,94105
192,2014-08-13,Moderate risk food holding temperature,92,94102
192,2016-06-28,Moderate risk vermin infestation,90,94102
192,2016-06-28,Moderate risk food holding temperature,90,94102
194,2015-04-20,Moderate risk food holding temperature,80,94134
194,2014-03-05,Unapproved or unmaintained equipment or utensils,88,94134
194,2014-03-05,Moderate risk food holding temperature,88,94134
198,2015-10-29,Moderate risk food holding temperature,92,94124
200,2015-01-29,Unclean or unsanitary food contact surfaces,87,94107
200,2015-01-29,Moderate risk vermin infestation,87,94107
200,2015-01-29,Unapproved or unmaintained equipment or utensils,87,94107
200,2015-10-01,Moderate risk food holding temperature,94,94107
200,2015-10-01,Unapproved or unmaintained equipment or utensils,94,94107
200,2014-03-17,Unapproved or unmaintained equipment or utensils,92,94107
200,2014-03-17,Moderate risk food holding temperature,92,94107
208,2015-02-12,Unapproved or unmaintained equipment or utensils,94,94124
208,2015-02-12,Moderate risk vermin infestation,94,94124
208,2015-10-07,Moderate risk food holding temperature,92,94124
217,2016-09-12,Moderate risk food holding temperature,90,94110
217,2014-06-24,Inadequate warewashing facilities or equipment,94,94110
217,2016-03-29,Unapproved or unmaintained equipment or utensils,94,94110
226,2016-05-23,Unclean or unsanitary food contact surfaces,82,94111
231,2014-09-02,Inadequate and inaccessible handwashing facilities,92,94133
231,2016-03-01,Inadequate warewashing facilities or equipment,88,94133
234,2016-09-27,Unapproved or unmaintained equipment or utensils,81,94133
234,2016-05-03,Inadequate warewashing facilities or equipment,81,94133
234,2016-05-03,Moderate risk vermin infestation,81,94133
234,2015-05-05,Unapproved or unmaintained equipment or utensils,82,94133
234,2015-05-05,Moderate risk vermin infestation,82,94133
236,2014-11-18,Inadequate and inaccessible handwashing facilities,88,94133
236,2014-11-18,Unapproved or unmaintained equipment or utensils,88,94133
236,2015-12-14,Moderate risk vermin infestation,94,94133
239,2014-05-07,Moderate risk food holding temperature,90,94116
239,2016-05-25,Moderate risk food holding temperature,84,94116
247,2014-09-09,Insufficient hot water or running water,83,94118
247,2014-09-09,Unclean or unsanitary food contact surfaces,83,94118
247,2014-09-09,Inadequate warewashing facilities or equipment,83,94118
247,2016-05-03,Moderate risk food holding temperature,83,94118
247,2016-05-03,Unclean or unsanitary food contact surfaces,83,94118
247,2016-05-03,Inadequate and inaccessible handwashing facilities,83,94118
253,2016-06-22,Unapproved or unmaintained equipment or utensils,94,94112
258,2016-04-07,Insufficient hot water or running water,88,94112
258,2016-04-07,Unapproved or unmaintained equipment or utensils,88,94112
258,2013-10-17,Moderate risk food holding temperature,94,94112
258,2014-04-07,Unclean unmaintained or improperly constructed toilet facilities,96,94112
267,2014-05-28,Unclean or unsanitary food contact surfaces,93,94123
268,2016-07-25,Unclean or unsanitary food contact surfaces,91,94123
268,2016-07-25,Unclean unmaintained or improperly constructed toilet facilities,91,94123
268,2014-08-29,Moderate risk food holding temperature,96,94123
272,2013-11-06,Moderate risk vermin infestation,94,94115
273,2015-05-19,Inadequate and inaccessible handwashing facilities,80,94123
279,2015-10-20,Moderate risk vermin infestation,94,94109
290,2014-12-10,Unclean or unsanitary food contact surfaces,80,94123
298,2015-08-28,Inadequate and inaccessible handwashing facilities,80,94109
298,2015-08-28,Unclean or unsanitary food contact surfaces,80,94109
298,2016-04-08,Moderate risk food holding temperature,87,94109
299,2014-03-06,Moderate risk food holding temperature,92,94123
300,2014-11-26,Inadequate warewashing facilities or equipment,96,94109
300,2014-05-07,Inadequate warewashing facilities or equipment,96,94109
302,2014-03-04,Moderate risk food holding temperature,94,94109
305,2014-03-21,Moderate risk vermin infestation,88,94123
315,2015-09-29,Insufficient hot water or running water,94,94114
315,2014-03-10,Inadequate and inaccessible handwashing facilities,88,94114
318,2015-11-13,Unclean unmaintained or improperly constructed toilet facilities,94,94109
320,2015-04-29,Inadequate and inaccessible handwashing facilities,84,94109
320,2015-04-29,Unapproved or unmaintained equipment or utensils,84,94109
320,2015-04-29,Unclean unmaintained or improperly constructed toilet facilities,84,94109
328,2016-01-05,Moderate risk vermin infestation,90,94115
328,2016-01-05,Inadequate and inaccessible handwashing facilities,90,94115
328,2013-10-10,Moderate risk food holding temperature,92,94115
379,2013-11-18,Unclean or unsanitary food contact surfaces,80,94134
384,2014-05-06,Inadequate warewashing facilities or equipment,88,94110
385,2014-03-06,Inadequate and inaccessible handwashing facilities,90,94112
385,2014-03-06,Unapproved or unmaintained equipment or utensils,90,94112
386,2014-10-24,Moderate risk vermin infestation,83,94110
386,2016-01-27,Inadequate and inaccessible handwashing facilities,90,94110
386,2014-04-24,Moderate risk vermin infestation,90,94110
386,2016-04-29,Inadequate and inaccessible handwashing facilities,82,94110
386,2016-04-29,Unapproved or unmaintained equipment or utensils,82,94110
386,2016-04-29,Inadequate or unsanitary refuse containers or area or no garbage service,82,94110
393,2016-07-22,Unclean unmaintained or improperly constructed toilet facilities,84,94112
393,2016-07-22,Inadequate and inaccessible handwashing facilities,84,94112
393,2014-06-25,Inadequate warewashing facilities or equipment,94,94112
393,2015-07-07,Inadequate and inaccessible handwashing facilities,90,94112
393,2015-07-07,Inadequate warewashing facilities or equipment,90,94112
400,2014-06-13,Moderate risk vermin infestation,94,94123
403,2015-07-23,Inadequate and inaccessible handwashing facilities,81,94103
403,2015-07-23,Unclean or unsanitary food contact surfaces,81,94103
403,2014-05-30,Unclean or unsanitary food contact surfaces,85,94103
403,2014-05-30,Inadequate and inaccessible handwashing facilities,85,94103
403,2014-05-30,Inadequate warewashing facilities or equipment,85,94103
403,2016-07-01,Inadequate and inaccessible handwashing facilities,81,94103
403,2016-07-01,Unapproved or unmaintained equipment or utensils,81,94103
413,2014-06-27,Moderate risk food holding temperature,87,94107
415,2014-01-24,Inadequate and inaccessible handwashing facilities,83,94108
421,2016-05-20,Moderate risk vermin infestation,89,94133
421,2016-05-20,Unclean or unsanitary food contact surfaces,89,94133
422,2014-06-26,Inadequate warewashing facilities or equipment,86,94133
422,2014-06-26,Moderate risk vermin infestation,86,94133
422,2015-09-18,Unapproved or unmaintained equipment or utensils,92,94133
422,2015-09-18,Moderate risk vermin infestation,92,94133
423,2014-07-16,Moderate risk vermin infestation,88,94111
423,2014-07-16,Moderate risk food holding temperature,88,94111
423,2014-12-09,Unapproved or unmaintained equipment or utensils,85,94111
423,2014-12-09,Moderate risk food holding temperature,85,94111
424,2015-05-05,Unapproved or unmaintained equipment or utensils,81,94107
424,2015-05-05,Insufficient hot water or running water,81,94107
424,2014-04-10,Moderate risk vermin infestation,94,94107
429,2015-02-23,Moderate risk food holding temperature,82,94133
429,2015-02-23,Moderate risk vermin infestation,82,94133
429,2016-06-02,Unclean or unsanitary food contact surfaces,87,94133
430,2015-01-14,Inadequate and inaccessible handwashing facilities,86,94133
430,2015-01-14,Moderate risk food holding temperature,86,94133
430,2016-05-20,Moderate risk vermin infestation,82,94133
430,2016-05-20,Unclean or unsanitary food contact surfaces,82,94133
431,2016-05-25,Moderate risk food holding temperature,92,94133
435,2015-10-28,Inadequate or unsanitary refuse containers or area or no garbage service,92,94133
436,2014-10-21,Inadequate and inaccessible handwashing facilities,81,94133
436,2014-10-21,Moderate risk food holding temperature,81,94133
438,2016-03-21,Unapproved or unmaintained equipment or utensils,90,94133
443,2014-09-15,Unapproved or unmaintained equipment or utensils,89,94133
447,2014-06-04,Moderate risk food holding temperature,85,94133
447,2014-06-04,Unclean or unsanitary food contact surfaces,85,94133
447,2015-07-23,Unclean or unsanitary food contact surfaces,87,94133
447,2013-10-23,Moderate risk food holding temperature,94,94133
448,2014-08-18,Unapproved or unmaintained equipment or utensils,85,94133
448,2015-10-21,Moderate risk food holding temperature,84,94133
448,2015-10-21,Moderate risk vermin infestation,84,94133
448,2015-10-21,Unapproved or unmaintained equipment or utensils,84,94133
448,2014-01-08,Moderate risk food holding temperature,84,94133
448,2014-01-08,Moderate risk vermin infestation,84,94133
463,2015-02-17,Inadequate and inaccessible handwashing facilities,85,94133
463,2015-02-17,Unclean or unsanitary food contact surfaces,85,94133
463,2015-02-17,Unapproved or unmaintained equipment or utensils,85,94133
468,2014-05-06,Unapproved or unmaintained equipment or utensils,84,94133
468,2014-05-06,Unclean unmaintained or improperly constructed toilet facilities,84,94133
468,2014-05-06,Inadequate and inaccessible handwashing facilities,84,94133
475,2015-10-06,Moderate risk vermin infestation,90,94133
475,2015-10-06,Unapproved or unmaintained equipment or utensils,90,94133
475,2014-02-05,Moderate risk vermin infestation,92,94133
477,2014-06-04,Unclean or unsanitary food contact surfaces,83,94133
477,2014-06-04,Moderate risk food holding temperature,83,94133
477,2015-03-02,Inadequate and inaccessible handwashing facilities,88,94133
477,2016-04-06,Moderate risk vermin infestation,88,94133
477,2013-11-20,Unapproved or unmaintained equipment or utensils,87,94133
477,2013-11-20,Moderate risk food holding temperature,87,94133
479,2016-07-29,Unapproved or unmaintained equipment or utensils,87,94133
480,2016-04-27,Unclean or unsanitary food contact surfaces,86,94133
484,2016-07-11,Unclean or unsanitary food contact surfaces,91,94133
485,2014-09-11,Insufficient hot water or running water,90,94133
485,2014-09-11,Inadequate warewashing facilities or equipment,90,94133
485,2014-02-05,Inadequate and inaccessible handwashing facilities,90,94133
486,2015-02-13,Moderate risk food holding temperature,90,94133
486,2015-02-13,Inadequate and inaccessible handwashing facilities,90,94133
488,2016-05-25,Unapproved or unmaintained equipment or utensils,89,94133
488,2016-05-25,Unclean or unsanitary food contact surfaces,89,94133
489,2014-06-17,Unclean or unsanitary food contact surfaces,83,94133
489,2014-06-17,Unapproved or unmaintained equipment or utensils,83,94133
496,2015-01-07,Moderate risk food holding temperature,90,94133
496,2016-04-12,Unclean or unsanitary food contact surfaces,91,94133
496,2014-05-08,Moderate risk food holding temperature,84,94133
500,2014-08-11,Unapproved or unmaintained equipment or utensils,81,94108
500,2015-09-30,Moderate risk food holding temperature,86,94108
500,2015-09-30,Inadequate and inaccessible handwashing facilities,86,94108
502,2014-04-21,Unapproved  living quarters in food facility,92,94105
502,2014-04-21,Inadequate and inaccessible handwashing facilities,92,94105
505,2014-06-04,Inadequate and inaccessible handwashing facilities,94,94112
505,2016-06-07,Inadequate and inaccessible handwashing facilities,90,94112
507,2014-08-25,Moderate risk vermin infestation,94,94131
507,2016-03-24,Insufficient hot water or running water,80,94131
510,2014-11-03,Moderate risk vermin infestation,90,94122
510,2016-05-23,Unapproved or unmaintained equipment or utensils,88,94122
510,2016-05-23,Moderate risk food holding temperature,88,94122
519,2014-06-09,Unapproved or unmaintained equipment or utensils,98,94105
522,2015-06-30,Other moderate risk violation,96,94132
527,2014-09-26,Inadequate and inaccessible handwashing facilities,81,94118
527,2014-06-04,Moderate risk food holding temperature,88,94118
527,2014-06-04,Moderate risk vermin infestation,88,94118
527,2014-09-26,Unapproved or unmaintained equipment or utensils,81,94118
527,2014-01-09,Unapproved or unmaintained equipment or utensils,94,94118
529,2014-07-21,Unapproved or unmaintained equipment or utensils,86,94118
529,2014-10-09,Unclean unmaintained or improperly constructed toilet facilities,90,94118
529,2014-07-21,Inadequate and inaccessible handwashing facilities,86,94118
529,2014-07-21,Inadequate warewashing facilities or equipment,86,94118
538,2016-09-28,Moderate risk vermin infestation,86,94122
538,2016-09-28,Moderate risk food holding temperature,86,94122
538,2016-04-11,Moderate risk food holding temperature,85,94122
538,2014-02-24,Moderate risk vermin infestation,92,94122
542,2014-06-10,Unclean unmaintained or improperly constructed toilet facilities,92,94118
542,2016-02-24,Unapproved or unmaintained equipment or utensils,83,94118
547,2015-08-13,Unapproved or unmaintained equipment or utensils,98,94121
557,2016-06-29,Unapproved or unmaintained equipment or utensils,85,94118
557,2016-06-29,Unsanitary employee garments hair or nails,85,94118
558,2015-02-24,Unapproved or unmaintained equipment or utensils,96,94122
558,2016-02-29,Moderate risk food holding temperature,92,94122
558,2014-02-11,Unapproved or unmaintained equipment or utensils,96,94122
573,2014-10-23,Moderate risk food holding temperature,94,94105
580,2016-08-29,Inadequate and inaccessible handwashing facilities,92,94110
580,2014-08-11,Moderate risk food holding temperature,96,94110
580,2016-03-11,Unapproved or unmaintained equipment or utensils,91,94110
580,2014-01-29,Inadequate warewashing facilities or equipment,96,94110
588,2014-08-12,Inadequate warewashing facilities or equipment,90,94116
588,2016-06-15,Inadequate and inaccessible handwashing facilities,83,94116
588,2016-06-15,Unapproved or unmaintained equipment or utensils,83,94116
591,2014-05-12,Unapproved or unmaintained equipment or utensils,92,94122
591,2014-05-12,Moderate risk food holding temperature,92,94122
591,2016-06-15,Moderate risk food holding temperature,83,94122
591,2016-06-15,Unclean or unsanitary food contact surfaces,83,94122
597,2014-11-20,Inadequate and inaccessible handwashing facilities,90,94118
606,2016-05-18,Moderate risk food holding temperature,86,94121
610,2016-08-19,Moderate risk food holding temperature,94,94122
615,2016-07-18,Moderate risk food holding temperature,92,94112
619,2014-02-11,Inadequate and inaccessible handwashing facilities,88,94112
619,2014-02-11,Unclean unmaintained or improperly constructed toilet facilities,88,94112
619,2016-05-25,Unapproved or unmaintained equipment or utensils,88,94112
619,2016-05-25,Moderate risk food holding temperature,88,94112
625,2016-09-21,Moderate risk vermin infestation,90,94115
625,2016-09-21,Moderate risk food holding temperature,90,94115
627,2013-12-16,Moderate risk food holding temperature,92,94117
628,2014-06-09,Moderate risk food holding temperature,92,94115
639,2015-01-20,Inadequate and inaccessible handwashing facilities,92,94109
639,2015-08-06,Unapproved or unmaintained equipment or utensils,92,94109
639,2016-03-03,Other moderate risk violation,92,94109
639,2013-10-18,Unapproved or unmaintained equipment or utensils,96,94109
642,2016-06-17,Inadequate warewashing facilities or equipment,94,94115
642,2016-06-17,Inadequate and inaccessible handwashing facilities,94,94115
659,2014-11-24,Inadequate warewashing facilities or equipment,92,94109
659,2013-10-28,Insufficient hot water or running water,86,94109
659,2016-04-29,Moderate risk food holding temperature,88,94109
659,2016-04-29,Moderate risk vermin infestation,88,94109
665,2014-11-04,Unapproved or unmaintained equipment or utensils,86,94123
665,2014-11-04,Moderate risk vermin infestation,86,94123
665,2014-02-13,Moderate risk food holding temperature,88,94123
670,2016-09-14,Unapproved or unmaintained equipment or utensils,86,94123
670,2014-08-26,Inadequate and inaccessible handwashing facilities,84,94123
670,2015-06-02,Unapproved or unmaintained equipment or utensils,86,94123
670,2015-06-02,Unclean unmaintained or improperly constructed toilet facilities,86,94123
670,2014-01-24,Unapproved or unmaintained equipment or utensils,92,94123
687,2014-06-18,Insufficient hot water or running water,83,94122
691,2016-09-19,Moderate risk food holding temperature,90,94123
691,2014-08-27,Unapproved or unmaintained equipment or utensils,86,94123
691,2014-08-27,Moderate risk vermin infestation,86,94123
691,2015-06-10,Unapproved or unmaintained equipment or utensils,92,94123
691,2014-01-09,Unclean or unsanitary food contact surfaces,91,94123
695,2016-09-30,Moderate risk food holding temperature,94,94102
695,2016-04-04,Moderate risk food holding temperature,94,94102
695,2013-12-31,Inadequate and inaccessible handwashing facilities,96,94102
709,2015-11-10,Unapproved or unmaintained equipment or utensils,82,94102
726,2014-01-13,Moderate risk food holding temperature,90,94115
729,2015-04-30,Inadequate and inaccessible handwashing facilities,92,94123
729,2014-02-13,Moderate risk vermin infestation,81,94123
741,2014-08-18,Moderate risk food holding temperature,83,94127
741,2016-06-10,Moderate risk food holding temperature,83,94127
741,2016-06-10,Unapproved or unmaintained equipment or utensils,83,94127
744,2014-04-23,Moderate risk food holding temperature,90,94103
744,2016-06-24,Insufficient hot water or running water,90,94103
758,2016-08-09,Inadequate warewashing facilities or equipment,94,94105
765,2015-06-03,Unclean or unsanitary food contact surfaces,84,94107
765,2015-06-03,Unapproved or unmaintained equipment or utensils,84,94107
765,2013-11-19,Moderate risk food holding temperature,96,94107
768,2015-06-01,Inadequate and inaccessible handwashing facilities,87,94107
768,2015-06-01,Unclean or unsanitary food contact surfaces,87,94107
773,2015-02-25,Unclean or unsanitary food contact surfaces,91,94107
786,2016-08-22,Unclean or unsanitary food contact surfaces,80,94111
786,2014-06-27,Moderate risk food holding temperature,90,94111
786,2015-08-03,Inadequate warewashing facilities or equipment,94,94111
786,2015-08-03,Unapproved or unmaintained equipment or utensils,94,94111
792,2014-11-24,Inadequate and inaccessible handwashing facilities,90,94133
792,2016-04-14,Moderate risk food holding temperature,94,94133
792,2014-02-06,Inadequate and inaccessible handwashing facilities,94,94133
798,2014-11-21,Inadequate and inaccessible handwashing facilities,90,94109
798,2016-05-12,Moderate risk vermin infestation,90,94109
798,2016-05-12,Moderate risk food holding temperature,90,94109
799,2016-06-08,Moderate risk food holding temperature,92,94133
809,2014-03-11,Unapproved or unmaintained equipment or utensils,86,94103
811,2015-09-28,Inadequate and inaccessible handwashing facilities,96,94107
811,2014-05-21,Inadequate and inaccessible handwashing facilities,96,94107
816,2014-11-03,Unclean or unsanitary food contact surfaces,89,94124
816,2014-11-03,Unapproved or unmaintained equipment or utensils,89,94124
816,2015-08-19,Inadequate and inaccessible handwashing facilities,87,94124
821,2016-06-06,Inadequate and inaccessible handwashing facilities,85,94110
821,2016-06-06,Unapproved or unmaintained equipment or utensils,85,94110
824,2014-10-07,Unapproved or unmaintained equipment or utensils,92,94112
827,2013-12-18,Inadequate warewashing facilities or equipment,92,94112
827,2016-06-20,Moderate risk food holding temperature,84,94112
830,2014-06-20,Inadequate warewashing facilities or equipment,87,94112
830,2014-06-20,Unapproved or unmaintained equipment or utensils,87,94112
830,2015-07-30,Moderate risk food holding temperature,84,94112
830,2013-12-20,Unclean unmaintained or improperly constructed toilet facilities,94,94112
835,2015-01-20,Unapproved or unmaintained equipment or utensils,86,94133
835,2016-06-13,Moderate risk food holding temperature,81,94133
835,2016-06-13,Unapproved or unmaintained equipment or utensils,81,94133
840,2015-10-28,Moderate risk food holding temperature,81,94133
840,2015-10-28,Unapproved or unmaintained equipment or utensils,81,94133
845,2016-07-29,Moderate risk vermin infestation,94,94133
845,2015-01-14,Moderate risk food holding temperature,92,94133
847,2014-09-19,Unclean or unsanitary food contact surfaces,85,94133
847,2016-05-17,Moderate risk vermin infestation,87,94133
847,2016-05-17,Unclean or unsanitary food contact surfaces,87,94133
854,2014-02-05,Moderate risk vermin infestation,84,94133
854,2016-06-14,Unapproved or unmaintained equipment or utensils,82,94133
854,2016-06-14,Inadequate and inaccessible handwashing facilities,82,94133
856,2014-07-29,Moderate risk food holding temperature,96,94110
856,2014-01-09,Moderate risk food holding temperature,94,94110
856,2016-07-07,Inadequate and inaccessible handwashing facilities,94,94110
874,2014-12-26,No hot water or running water,82,94109
874,2016-04-06,Moderate risk food holding temperature,96,94109
874,2013-11-19,Moderate risk food holding temperature,90,94109
874,2014-04-25,Insufficient hot water or running water,96,94109
876,2014-09-02,Moderate risk vermin infestation,92,94121
876,2016-05-18,Inadequate and inaccessible handwashing facilities,83,94121
876,2016-05-18,Moderate risk vermin infestation,83,94121
876,2016-05-18,Unapproved or unmaintained equipment or utensils,83,94121
884,2014-10-06,Moderate risk food holding temperature,87,94133
884,2014-10-06,Unclean or unsanitary food contact surfaces,87,94133
884,2016-03-09,Moderate risk food holding temperature,86,94133
884,2013-11-13,Inadequate and inaccessible handwashing facilities,92,94133
891,2015-04-07,Unapproved or unmaintained equipment or utensils,82,94108
891,2015-04-07,Moderate risk vermin infestation,82,94108
902,2014-10-02,Moderate risk food holding temperature,90,94114
903,2015-02-25,Unapproved or unmaintained equipment or utensils,86,94108
903,2016-06-30,Unapproved or unmaintained equipment or utensils,90,94108
917,2016-09-02,Moderate risk food holding temperature,96,94108
917,2015-08-14,Moderate risk vermin infestation,96,94108
919,2015-02-09,Inadequate warewashing facilities or equipment,94,94108
919,2015-02-09,Moderate risk food holding temperature,94,94108
919,2016-03-30,Unapproved or unmaintained equipment or utensils,92,94108
919,2014-03-11,Moderate risk food holding temperature,92,94108
929,2014-06-03,Unapproved or unmaintained equipment or utensils,92,94110
929,2014-06-03,Moderate risk food holding temperature,92,94110
929,2016-06-22,Unapproved or unmaintained equipment or utensils,98,94110
935,2016-09-19,Moderate risk vermin infestation,100,94124
935,2016-09-19,Moderate risk food holding temperature,100,94124
951,2015-08-28,Unapproved or unmaintained equipment or utensils,92,94122
951,2015-08-28,Inadequate sewage or wastewater disposal,92,94122
951,2016-04-26,Inadequate and inaccessible handwashing facilities,88,94122
951,2016-04-26,Unapproved or unmaintained equipment or utensils,88,94122
951,2016-04-26,Moderate risk vermin infestation,88,94122
952,2013-12-16,Unapproved or unmaintained equipment or utensils,85,94122
952,2013-12-16,Moderate risk vermin infestation,85,94122
961,2014-11-18,Moderate risk vermin infestation,90,94122
961,2015-10-30,Moderate risk food holding temperature,92,94122
961,2014-01-06,Unapproved or unmaintained equipment or utensils,92,94122
961,2014-05-29,Moderate risk food holding temperature,85,94122
966,2014-05-08,Moderate risk food holding temperature,84,94122
968,2014-09-02,Moderate risk food holding temperature,90,94122
968,2015-03-24,Unapproved or unmaintained equipment or utensils,82,94122
968,2015-03-24,Moderate risk food holding temperature,82,94122
968,2013-10-08,Unapproved or unmaintained equipment or utensils,85,94122
984,2013-10-24,Unapproved or unmaintained equipment or utensils,92,94116
984,2014-04-30,Moderate risk food holding temperature,90,94116
985,2014-05-05,Unclean or unsanitary food contact surfaces,81,94116
985,2014-05-05,Unapproved or unmaintained equipment or utensils,81,94116
985,2014-05-05,Inadequate and inaccessible handwashing facilities,81,94116
994,2016-08-10,Unapproved or unmaintained equipment or utensils,88,94127
994,2016-08-10,Moderate risk food holding temperature,88,94127
994,2014-12-09,Inadequate and inaccessible handwashing facilities,90,94127
1000,2016-09-19,Unclean unmaintained or improperly constructed toilet facilities,81,94110
1002,2016-09-29,Moderate risk food holding temperature,90,94110
1002,2016-02-17,Unclean unmaintained or improperly constructed toilet facilities,90,94110
1002,2016-02-17,Moderate risk food holding temperature,90,94110
1002,2014-04-02,Inadequate and inaccessible handwashing facilities,94,94110
1003,2016-07-06,Unapproved or unmaintained equipment or utensils,88,94110
1005,2014-11-14,Moderate risk food holding temperature,81,94110
1005,2014-03-03,Inadequate or unsanitary refuse containers or area or no garbage service,85,94110
1005,2016-05-02,Moderate risk vermin infestation,84,94110
1031,2016-09-15,Unclean or unsanitary food contact surfaces,80,94102
1031,2016-09-15,Unapproved or unmaintained equipment or utensils,80,94102
1036,2016-09-13,Inadequate and inaccessible handwashing facilities,90,94117
1036,2016-09-13,Moderate risk vermin infestation,90,94117
1036,2013-11-07,Moderate risk vermin infestation,88,94117
1043,2015-06-05,Unapproved or unmaintained equipment or utensils,96,94117
1047,2014-05-01,Unclean unmaintained or improperly constructed toilet facilities,94,94117
1048,2015-12-10,Unapproved or unmaintained equipment or utensils,92,94117
1060,2014-06-03,Unapproved or unmaintained equipment or utensils,96,94117
1060,2014-03-05,Moderate risk food holding temperature,94,94117
1065,2014-07-16,Unapproved or unmaintained equipment or utensils,89,94110
1065,2013-11-12,Moderate risk food holding temperature,94,94110
1085,2014-10-03,Inadequate and inaccessible handwashing facilities,89,94105
1102,2014-09-17,Unapproved or unmaintained equipment or utensils,90,94109
1102,2014-09-17,Moderate risk food holding temperature,90,94109
1102,2015-06-16,Unclean unmaintained or improperly constructed toilet facilities,92,94109
1102,2016-03-11,Unapproved or unmaintained equipment or utensils,82,94109
1103,2015-12-24,Inadequate warewashing facilities or equipment,96,94114
1111,2016-06-21,Moderate risk vermin infestation,87,94109
1122,2013-12-05,Unclean or unsanitary food contact surfaces,91,94123
1125,2014-06-06,Unclean or unsanitary food contact surfaces,86,94111
1127,2014-03-07,Moderate risk vermin infestation,92,94104
1135,2015-03-10,Unapproved or unmaintained equipment or utensils,90,94115
1135,2015-03-10,Moderate risk food holding temperature,90,94115
1139,2016-06-20,Inadequate warewashing facilities or equipment,80,94102
1144,2016-03-29,Moderate risk vermin infestation,86,94109
1144,2016-03-29,Moderate risk food holding temperature,86,94109
1144,2016-03-29,Unapproved or unmaintained equipment or utensils,86,94109
1146,2015-01-22,Unapproved or unmaintained equipment or utensils,83,94109
1146,2014-05-30,Moderate risk vermin infestation,88,94109
1151,2016-05-05,Insufficient hot water or running water,90,94131
1151,2016-05-05,Unapproved or unmaintained equipment or utensils,90,94131
1154,2016-01-05,Moderate risk food holding temperature,88,94103
1156,2014-06-18,Unclean unmaintained or improperly constructed toilet facilities,94,94102
1156,2014-06-18,Moderate risk vermin infestation,94,94102
1156,2015-03-17,Unclean or unsanitary food contact surfaces,93,94102
